x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.000625,298,1,99999.97594,1000.048395,0.9999998261,0,0
0.001875,298,1,99999.97588,1000.048395,0.9999999193,0,0
0.003125,298,1,99999.97578,1000.048395,1.000000003,0,0
0.004375,298,1,99999.97577,1000.048395,0.9999999899,0,0
0.005625,298,1,99999.97579,1000.048395,0.9999999808,0,0
0.006875,298,1,99999.97579,1000.048395,0.9999999819,0,0
0.008125,298,1,99999.97579,1000.048395,0.9999999825,0,0
0.009375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.010625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.011875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.013125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.014375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.015625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.016875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.018125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.019375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.020625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.021875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.023125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.024375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.025625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.026875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.028125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.029375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.030625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.031875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.033125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.034375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.035625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.036875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.038125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.039375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.040625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.041875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.043125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.044375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.045625,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.046875,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.048125,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.049375,298,1,99999.97579,1000.048395,0.9999999824,0,0
0.050625,298,1,99999.97579,1000.048395,0.9999999824,0,0
