x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.000625,298,1,100000.0296,1000.048395,0.9999892571,0,0
0.001875,298,1,100000.0825,1000.048395,0.9999915172,0,0
0.003125,298,1,100000.1313,1000.048395,0.999992123,0,0
0.004375,298,1,100000.1816,1000.048395,0.9999920627,0,0
0.005625,298.0000001,1,100000.232,1000.048395,0.9999920318,0,0
0.006875,298.0000001,1,100000.2823,1000.048395,0.9999920318,0,0
0.008125,298.0000001,1,100000.3327,1000.048395,0.9999920329,0,0
0.009375,298.0000001,1,100000.3831,1000.048395,0.999992032,0,0
0.010625,298.0000001,1,100000.4334,1000.048395,0.9999920306,0,0
0.011875,298.0000001,1,100000.4838,1000.048395,0.9999920291,0,0
0.013125,298.0000001,1,100000.5342,1000.048395,0.9999920276,0,0
0.014375,298.0000001,1,100000.5846,1000.048395,0.9999920259,0,0
0.015625,298.0000001,1,100000.635,1000.048395,0.9999920241,0,0
0.016875,298.0000002,1,100000.6854,1000.048395,0.9999920221,0,0
0.018125,298.0000002,1,100000.7359,1000.048395,0.99999202,0,0
0.019375,298.0000002,1,100000.7863,1000.048395,0.9999920177,0,0
0.020625,298.0000002,1,100000.8368,1000.048395,0.9999920153,0,0
0.021875,298.0000002,1,100000.8872,1000.048395,0.9999920128,0,0
0.023125,298.0000002,1,100000.9377,1000.048395,0.9999920101,0,0
0.024375,298.0000002,1,100000.9882,1000.048395,0.9999920073,0,0
0.025625,298.0000002,1,100001.0387,1000.048395,0.9999920043,0,0
0.026875,298.0000002,1,100001.0893,1000.048395,0.9999920012,0,0
0.028125,298.0000003,1,100001.1398,1000.048395,0.9999919979,0,0
0.029375,298.0000003,1,100001.1904,1000.048396,0.9999919945,0,0
0.030625,298.0000003,1,100001.2409,1000.048396,0.999991991,0,0
0.031875,298.0000003,1,100001.2915,1000.048396,0.9999919873,0,0
0.033125,298.0000003,1,100001.3422,1000.048396,0.9999919835,0,0
0.034375,298.0000003,1,100001.3928,1000.048396,0.9999919795,0,0
0.035625,298.0000003,1,100001.4435,1000.048396,0.9999919754,0,0
0.036875,298.0000003,1,100001.4941,1000.048396,0.9999919711,0,0
0.038125,298.0000004,1,100001.5448,1000.048396,0.9999919667,0,0
0.039375,298.0000004,1,100001.5956,1000.048396,0.9999919622,0,0
0.040625,298.0000004,1,100001.6463,1000.048396,0.9999919575,0,0
0.041875,298.0000004,1,100001.6971,1000.048396,0.9999919527,0,0
0.043125,298.0000004,1,100001.7479,1000.048396,0.9999919477,0,0
0.044375,298.0000004,1,100001.7987,1000.048396,0.9999919426,0,0
0.045625,298.0000004,1,100001.8496,1000.048396,0.9999919373,0,0
0.046875,298.0000004,1,100001.9005,1000.048396,0.9999919319,0,0
0.048125,298.0000004,1,100001.9514,1000.048396,0.9999919264,0,0
0.049375,298.0000005,1,100002.0023,1000.048396,0.9999919207,0,0
0.050625,298.0000005,1,100002.0533,1000.048396,0.9999919148,0,0
0.051875,298.0000005,1,100002.1043,1000.048396,0.9999919089,0,0
0.053125,298.0000005,1,100002.1553,1000.048396,0.9999919027,0,0
0.054375,298.0000005,1,100002.2064,1000.048396,0.9999918965,0,0
0.055625,298.0000005,1,100002.2575,1000.048396,0.9999918901,0,0
0.056875,298.0000005,1,100002.3087,1000.048396,0.9999918835,0,0
0.058125,298.0000005,1,100002.3598,1000.048396,0.9999918768,0,0
0.059375,298.0000005,1,100002.411,1000.048396,0.99999187,0,0
0.060625,298.0000006,1,100002.4623,1000.048396,0.999991863,0,0
0.061875,298.0000006,1,100002.5136,1000.048396,0.9999918558,0,0
0.063125,298.0000006,1,100002.5649,1000.048396,0.9999918486,0,0
0.064375,298.0000006,1,100002.6162,1000.048396,0.9999918411,0,0
0.065625,298.0000006,1,100002.6676,1000.048396,0.9999918336,0,0
0.066875,298.0000006,1,100002.719,1000.048396,0.9999918259,0,0
0.068125,298.0000006,1,100002.7705,1000.048396,0.999991818,0,0
0.069375,298.0000006,1,100002.822,1000.048396,0.99999181,0,0
0.070625,298.0000007,1,100002.8736,1000.048396,0.9999918019,0,0
0.071875,298.0000007,1,100002.9252,1000.048396,0.9999917936,0,0
0.073125,298.0000007,1,100002.9768,1000.048396,0.9999917851,0,0
0.074375,298.0000007,1,100003.0285,1000.048396,0.9999917766,0,0
0.075625,298.0000007,1,100003.0803,1000.048396,0.9999917678,0,0
0.076875,298.0000007,1,100003.132,1000.048396,0.999991759,0,0
0.078125,298.0000007,1,100003.1839,1000.048396,0.99999175,0,0
0.079375,298.0000007,1,100003.2357,1000.048396,0.9999917408,0,0
0.080625,298.0000007,1,100003.2877,1000.048397,0.9999917315,0,0
0.081875,298.0000008,1,100003.3396,1000.048397,0.999991722,0,0
0.083125,298.0000008,1,100003.3917,1000.048397,0.9999917124,0,0
0.084375,298.0000008,1,100003.4437,1000.048397,0.9999917027,0,0
0.085625,298.0000008,1,100003.4958,1000.048397,0.9999916928,0,0
0.086875,298.0000008,1,100003.548,1000.048397,0.9999916828,0,0
0.088125,298.0000008,1,100003.6002,1000.048397,0.9999916726,0,0
0.089375,298.0000008,1,100003.6525,1000.048397,0.9999916622,0,0
0.090625,298.0000008,1,100003.7049,1000.048397,0.9999916518,0,0
0.091875,298.0000009,1,100003.7572,1000.048397,0.9999916411,0,0
0.093125,298.0000009,1,100003.8097,1000.048397,0.9999916304,0,0
0.094375,298.0000009,1,100003.8622,1000.048397,0.9999916195,0,0
0.095625,298.0000009,1,100003.9147,1000.048397,0.9999916084,0,0
0.096875,298.0000009,1,100003.9674,1000.048397,0.9999915972,0,0
0.098125,298.0000009,1,100004.02,1000.048397,0.9999915858,0,0
0.099375,298.0000009,1,100004.0728,1000.048397,0.9999915743,0,0
0.100625,298.0000009,1,100004.1256,1000.048397,0.9999915627,0,0
0.101875,298.0000009,1,100004.1784,1000.048397,0.9999915509,0,0
0.103125,298.000001,1,100004.2313,1000.048397,0.9999915389,0,0
0.104375,298.000001,1,100004.2843,1000.048397,0.9999915268,0,0
0.105625,298.000001,1,100004.3373,1000.048397,0.9999915146,0,0
0.106875,298.000001,1,100004.3905,1000.048397,0.9999915022,0,0
0.108125,298.000001,1,100004.4436,1000.048397,0.9999914896,0,0
0.109375,298.000001,1,100004.4969,1000.048397,0.9999914769,0,0
0.110625,298.000001,1,100004.5502,1000.048397,0.9999914641,0,0
0.111875,298.000001,1,100004.6035,1000.048397,0.9999914511,0,0
0.113125,298.0000011,1,100004.657,1000.048397,0.999991438,0,0
0.114375,298.0000011,1,100004.7105,1000.048397,0.9999914247,0,0
0.115625,298.0000011,1,100004.764,1000.048397,0.9999914113,0,0
0.116875,298.0000011,1,100004.8177,1000.048397,0.9999913977,0,0
0.118125,298.0000011,1,100004.8714,1000.048397,0.999991384,0,0
0.119375,298.0000011,1,100004.9252,1000.048397,0.9999913701,0,0
0.120625,298.0000011,1,100004.979,1000.048397,0.9999913561,0,0
0.121875,298.0000011,1,100005.033,1000.048397,0.9999913419,0,0
0.123125,298.0000012,1,100005.087,1000.048397,0.9999913275,0,0
0.124375,298.0000012,1,100005.1411,1000.048397,0.9999913131,0,0
0.125625,298.0000012,1,100005.1952,1000.048397,0.9999912984,0,0
0.126875,298.0000012,1,100005.2494,1000.048397,0.9999912836,0,0
0.128125,298.0000012,1,100005.3037,1000.048397,0.9999912687,0,0
