x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.000625,297.9999997,1,99998.72886,1000.048394,0.9997415235,0,0
0.001875,297.9999996,1,99998.29049,1000.048394,0.9997371377,0,0
0.003125,297.9999995,1,99997.58337,1000.048394,1.00026232,0,0
0.004375,297.9999993,1,99997.00751,1000.048393,1.000296783,0,0
0.005625,297.9999993,1,99996.74216,1000.048393,1.000193647,0,0
0.006875,297.9999992,1,99996.45955,1000.048393,1.000178159,0,0
0.008125,297.9999991,1,99996.11369,1000.048393,1.000190397,0,0
0.009375,297.999999,1,99995.76704,1000.048393,1.000193113,0,0
0.010625,297.999999,1,99995.4283,1000.048393,1.000191977,0,0
0.011875,297.9999989,1,99995.08998,1000.048393,1.000191662,0,0
0.013125,297.9999988,1,99994.75094,1000.048392,1.000191746,0,0
0.014375,297.9999987,1,99994.41186,1000.048392,1.000191767,0,0
0.015625,297.9999987,1,99994.07288,1000.048392,1.000191755,0,0
0.016875,297.9999986,1,99993.73393,1000.048392,1.000191747,0,0
0.018125,297.9999985,1,99993.395,1000.048392,1.000191741,0,0
0.019375,297.9999984,1,99993.0561,1000.048392,1.000191732,0,0
0.020625,297.9999983,1,99992.71723,1000.048391,1.000191726,0,0
0.021875,297.9999983,1,99992.37839,1000.048391,1.000191717,0,0
0.023125,297.9999982,1,99992.03957,1000.048391,1.000191709,0,0
0.024375,297.9999981,1,99991.70079,1000.048391,1.0001917,0,0
0.025625,297.999998,1,99991.36203,1000.048391,1.00019169,0,0
0.026875,297.999998,1,99991.0233,1000.048391,1.000191681,0,0
0.028125,297.9999979,1,99990.68459,1000.04839,1.000191671,0,0
0.029375,297.9999978,1,99990.34592,1000.04839,1.00019166,0,0
0.030625,297.9999977,1,99990.00727,1000.04839,1.000191649,0,0
0.031875,297.9999977,1,99989.66865,1000.04839,1.000191637,0,0
0.033125,297.9999976,1,99989.33006,1000.04839,1.000191625,0,0
0.034375,297.9999975,1,99988.9915,1000.04839,1.000191613,0,0
0.035625,297.9999974,1,99988.65297,1000.048389,1.0001916,0,0
0.036875,297.9999973,1,99988.31446,1000.048389,1.000191587,0,0
0.038125,297.9999973,1,99987.97599,1000.048389,1.000191574,0,0
0.039375,297.9999972,1,99987.63754,1000.048389,1.000191559,0,0
0.040625,297.9999971,1,99987.29912,1000.048389,1.000191545,0,0
0.041875,297.999997,1,99986.96073,1000.048389,1.00019153,0,0
0.043125,297.999997,1,99986.62237,1000.048388,1.000191515,0,0
0.044375,297.9999969,1,99986.28403,1000.048388,1.000191499,0,0
0.045625,297.9999968,1,99985.94573,1000.048388,1.000191483,0,0
0.046875,297.9999967,1,99985.60745,1000.048388,1.000191466,0,0
0.048125,297.9999967,1,99985.2692,1000.048388,1.00019145,0,0
0.049375,297.9999966,1,99984.93099,1000.048388,1.000191432,0,0
0.050625,297.9999965,1,99984.5928,1000.048387,1.000191414,0,0
0.051875,297.9999964,1,99984.25464,1000.048387,1.000191396,0,0
0.053125,297.9999963,1,99983.9165,1000.048387,1.000191377,0,0
0.054375,297.9999963,1,99983.5784,1000.048387,1.000191358,0,0
0.055625,297.9999962,1,99983.24033,1000.048387,1.000191339,0,0
0.056875,297.9999961,1,99982.90229,1000.048387,1.000191318,0,0
0.058125,297.999996,1,99982.56427,1000.048386,1.000191298,0,0
0.059375,297.999996,1,99982.22629,1000.048386,1.000191277,0,0
0.060625,297.9999959,1,99981.88833,1000.048386,1.000191256,0,0
0.061875,297.9999958,1,99981.55041,1000.048386,1.000191234,0,0
0.063125,297.9999957,1,99981.21251,1000.048386,1.000191212,0,0
0.064375,297.9999957,1,99980.87464,1000.048386,1.000191189,0,0
0.065625,297.9999956,1,99980.53681,1000.048386,1.000191167,0,0
0.066875,297.9999955,1,99980.199,1000.048385,1.000191143,0,0
0.068125,297.9999954,1,99979.86122,1000.048385,1.000191119,0,0
0.069375,297.9999953,1,99979.52348,1000.048385,1.000191095,0,0
0.070625,297.9999953,1,99979.18576,1000.048385,1.000191071,0,0
0.071875,297.9999952,1,99978.84807,1000.048385,1.000191045,0,0
0.073125,297.9999951,1,99978.51042,1000.048385,1.00019102,0,0
0.074375,297.999995,1,99978.17279,1000.048384,1.000190994,0,0
0.075625,297.999995,1,99977.83519,1000.048384,1.000190968,0,0
0.076875,297.9999949,1,99977.49763,1000.048384,1.000190941,0,0
0.078125,297.9999948,1,99977.16009,1000.048384,1.000190913,0,0
0.079375,297.9999947,1,99976.82259,1000.048384,1.000190886,0,0
0.080625,297.9999947,1,99976.48511,1000.048384,1.000190858,0,0
0.081875,297.9999946,1,99976.14767,1000.048383,1.00019083,0,0
0.083125,297.9999945,1,99975.81026,1000.048383,1.000190801,0,0
0.084375,297.9999944,1,99975.47288,1000.048383,1.000190771,0,0
0.085625,297.9999943,1,99975.13553,1000.048383,1.000190742,0,0
