x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-8.60732e-17,0,0
0.001875,2.5,1,1,-8.60732e-17,0,0
0.003125,2.5,1,1,-4.26676e-17,0,0
0.004375,2.5,1,1,-4.26676e-17,0,0
0.005625,2.5,1,1,2.85682e-17,0,0
0.006875,2.5,1,1,2.85682e-17,0,0
0.008125,2.5,1,1,-2.23266e-16,0,0
0.009375,2.5,1,1,-2.23266e-16,0,0
0.010625,2.5,1,1,-3.49858e-16,0,0
0.011875,2.5,1,1,-3.49858e-16,0,0
0.013125,2.5,1,1,-1.76968e-16,0,0
0.014375,2.5,1,1,-1.76968e-16,0,0
0.015625,2.5,1,1,1.83186e-16,0,0
0.016875,2.5,1,1,1.83186e-16,0,0
0.018125,2.5,1,1,3.70634e-16,0,0
0.019375,2.5,1,1,3.70634e-16,0,0
0.020625,2.5,1,1,1.55848e-16,0,0
0.021875,2.5,1,1,1.55848e-16,0,0
0.023125,2.5,1,1,2.16337e-16,0,0
0.024375,2.5,1,1,2.16337e-16,0,0
0.025625,2.5,1,1,-8.57526e-17,0,0
0.026875,2.5,1,1,-8.57526e-17,0,0
0.028125,2.5,1,1,-5.21924e-16,0,0
0.029375,2.5,1,1,-5.21924e-16,0,0
0.030625,2.5,1,1,-1.97235e-16,0,0
0.031875,2.5,1,1,-1.97235e-16,0,0
0.033125,2.5,1,1,-3.01246e-16,0,0
0.034375,2.5,1,1,-3.01246e-16,0,0
0.035625,2.5,1,1,-3.56647e-16,0,0
0.036875,2.5,1,1,-3.56647e-16,0,0
0.038125,2.5,1,1,-3.92371e-16,0,0
0.039375,2.5,1,1,-3.92371e-16,0,0
0.040625,2.5,1,1,-9.05232e-17,0,0
0.041875,2.5,1,1,-9.05232e-17,0,0
0.043125,2.5,1,1,4.06679e-17,0,0
0.044375,2.5,1,1,4.06679e-17,0,0
0.045625,2.5,1,1,8.05328e-17,0,0
0.046875,2.5,1,1,8.05328e-17,0,0
0.048125,2.5,1,1,8.32957e-17,0,0
0.049375,2.5,1,1,8.32957e-17,0,0
0.050625,2.5,1,1,-1.70253e-16,0,0
0.051875,2.5,1,1,-1.70253e-16,0,0
0.053125,2.5,1,1,-5.83895e-16,0,0
0.054375,2.5,1,1,-5.83895e-16,0,0
0.055625,2.5,1,1,-6.61e-16,0,0
0.056875,2.5,1,1,-6.61e-16,0,0
0.058125,2.5,1,1,-5.47914e-16,0,0
0.059375,2.5,1,1,-5.47914e-16,0,0
0.060625,2.5,1,1,-4.07111e-16,0,0
0.061875,2.5,1,1,-4.07111e-16,0,0
0.063125,2.5,1,1,-4.06797e-16,0,0
0.064375,2.5,1,1,-4.06797e-16,0,0
0.065625,2.5,1,1,-3.89789e-16,0,0
0.066875,2.5,1,1,-3.89789e-16,0,0
0.068125,2.5,1,1,-1.45391e-16,0,0
0.069375,2.5,1,1,-1.45391e-16,0,0
0.070625,2.5,1,1,-5.50219e-16,0,0
0.071875,2.5,1,1,-5.50219e-16,0,0
0.073125,2.5,1,1,-7.50821e-16,0,0
0.074375,2.5,1,1,-7.50821e-16,0,0
0.075625,2.5,1,1,-9.75072e-16,0,0
0.076875,2.5,1,1,-9.75072e-16,0,0
0.078125,2.5,1,1,-5.07978e-16,0,0
0.079375,2.5,1,1,-5.07978e-16,0,0
0.080625,2.5,1,1,-5.46233e-16,0,0
0.081875,2.5,1,1,-5.46233e-16,0,0
0.083125,2.5,1,1,-7.06576e-16,0,0
0.084375,2.5,1,1,-7.06576e-16,0,0
0.085625,2.5,1,1,-4.70808e-16,0,0
0.086875,2.5,1,1,-4.70808e-16,0,0
0.088125,2.5,1,1,-3.28685e-16,0,0
0.089375,2.5,1,1,-3.28685e-16,0,0
0.090625,2.5,1,1,-2.44284e-16,0,0
0.091875,2.5,1,1,-2.44284e-16,0,0
0.093125,2.5,1,1,-5.20898e-16,0,0
0.094375,2.5,1,1,-5.20898e-16,0,0
0.095625,2.5,1,1,-5.99778e-16,0,0
0.096875,2.5,1,1,-5.99778e-16,0,0
0.098125,2.5,1,1,-4.52049e-16,0,0
0.099375,2.5,1,1,-4.52049e-16,0,0
0.100625,2.5,1,1,-5.43338e-16,0,0
0.101875,2.5,1,1,-5.43338e-16,0,0
0.103125,2.5,1,1,-9.40905e-16,0,0
0.104375,2.5,1,1,-9.40905e-16,0,0
0.105625,2.5,1,1,-1.11502e-15,0,0
0.106875,2.5,1,1,-1.11502e-15,0,0
0.108125,2.5,1,1,-1.06011e-15,0,0
0.109375,2.5,1,1,-1.06011e-15,0,0
0.110625,2.5,1,1,-1.04283e-15,0,0
0.111875,2.5,1,1,-1.04283e-15,0,0
0.113125,2.5,1,1,-1.12881e-15,0,0
0.114375,2.5,1,1,-1.12881e-15,0,0
0.115625,2.5,1,1,-1.4824e-15,0,0
0.116875,2.5,1,1,-1.4824e-15,0,0
0.118125,2.5,1,1,-1.25099e-15,0,0
0.119375,2.5,1,1,-1.25099e-15,0,0
0.120625,2.5,1,1,-1.13382e-15,0,0
0.121875,2.5,1,1,-1.13382e-15,0,0
0.123125,2.5,1,1,-1.17338e-15,0,0
0.124375,2.5,1,1,-1.17338e-15,0,0
0.125625,2.5,1,1,-9.32331e-16,0,0
0.126875,2.5,1,1,-9.32331e-16,0,0
0.128125,2.5,1,1,-1.72697e-17,0,0
0.129375,2.5,1,1,-1.72697e-17,0,0
0.130625,2.5,1,1,1.80196e-15,0,0
0.131875,2.5,1,1,1.80196e-15,0,0
0.133125,2.5,1,1,6.06799e-15,0,0
0.134375,2.5,1,1,6.06799e-15,0,0
0.135625,2.5,1,1,1.66523e-14,0,0
0.136875,2.5,1,1,1.66523e-14,0,0
0.138125,2.5,1,1,4.1383e-14,0,0
0.139375,2.5,1,1,4.1383e-14,0,0
0.140625,2.5,1,1,1.03951e-13,0,0
0.141875,2.5,1,1,1.03951e-13,0,0
0.143125,2.5,1,1,2.59084e-13,0,0
0.144375,2.5,1,1,2.59084e-13,0,0
0.145625,2.5,1,1,6.39952e-13,0,0
0.146875,2.5,1,1,6.39952e-13,0,0
0.148125,2.5,1,1,1.57312e-12,0,0
0.149375,2.5,1,1,1.57312e-12,0,0
0.150625,2.5,1,1,3.85189e-12,0,0
0.151875,2.5,1,1,3.85189e-12,0,0
0.153125,2.5,1,1,9.39429e-12,0,0
0.154375,2.5,1,1,9.39429e-12,0,0
0.155625,2.5,1,1,2.28297e-11,0,0
0.156875,2.5,1,1,2.28297e-11,0,0
0.158125,2.5,1,1,5.52833e-11,0,0
0.159375,2.5,1,1,5.52833e-11,0,0
0.160625,2.5,1,1,1.33411e-10,0,0
0.161875,2.5,1,1,1.33411e-10,0,0
0.163125,2.5,1,1,3.20872e-10,0,0
0.164375,2.5,1,1,3.20872e-10,0,0
0.165625,2.5,1,1,7.69212e-10,0,0
0.166875,2.5,1,1,7.69212e-10,0,0
0.168125,2.5,1,1,1.83815e-09,0,0
0.169375,2.5,1,1,1.83815e-09,0,0
0.170625,2.5,1,1,4.37908e-09,0,0
0.171875,2.5,1,1,4.37908e-09,0,0
0.173125,2.5,1,1,1.04019e-08,0,0
0.174375,2.5,1,1,1.04019e-08,0,0
0.175625,2.5,1,1,2.46398e-08,0,0
0.176875,2.5,1,1,2.46398e-08,0,0
0.178125,2.5,1,1,5.82148e-08,0,0
0.179375,2.5,1,1,5.82148e-08,0,0
0.180625,2.5,1,1,1.37207e-07,0,0
0.181875,2.5,1,1,1.37207e-07,0,0
0.183125,2.5,1,1,3.22626e-07,0,0
0.184375,2.5,1,1,3.22626e-07,0,0
0.185625,2.5,0.999999,0.999999,7.56534e-07,0,0
0.186875,2.5,0.999999,0.999999,7.56534e-07,0,0
