x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
6.223125,298.1209638,0,100142.5342,1.170426549,1.352284498,0,0
6.224375,298.1202329,0,100141.6756,1.170419383,1.350165134,0,0
6.225625,298.1195015,0,100140.8163,1.170412211,1.348043864,0,0
6.226875,298.1187695,0,100139.9562,1.170405033,1.345920926,0,0
6.228125,298.1180371,0,100139.0957,1.17039785,1.343796554,0,0
6.229375,298.1173043,0,100138.2346,1.170390663,1.341670981,0,0
6.230625,298.1165712,0,100137.3732,1.170383473,1.339544438,0,0
6.231875,298.1158379,0,100136.5114,1.17037628,1.337417151,0,0
6.233125,298.1151044,0,100135.6495,1.170369085,1.335289346,0,0
6.234375,298.1143709,0,100134.7875,1.17036189,1.333161246,0,0
6.235625,298.1136374,0,100133.9254,1.170354694,1.331033071,0,0
6.236875,298.112904,0,100133.0634,1.170347498,1.328905038,0,0
6.238125,298.1121708,0,100132.2016,1.170340304,1.326777363,0,0
6.239375,298.1114378,0,100131.3401,1.170333112,1.324650258,0,0
6.240625,298.1107051,0,100130.4788,1.170325922,1.322523934,0,0
6.241875,298.1099727,0,100129.618,1.170318736,1.320398598,0,0
6.243125,298.1092409,0,100128.7577,1.170311553,1.318274454,0,0
6.244375,298.1085095,0,100127.8979,1.170304376,1.316151706,0,0
6.245625,298.1077787,0,100127.0388,1.170297203,1.314030553,0,0
6.246875,298.1070486,0,100126.1805,1.170290037,1.311911192,0,0
6.248125,298.1063192,0,100125.3229,1.170282877,1.309793818,0,0
6.249375,298.1055906,0,100124.4663,1.170275725,1.307678624,0,0
6.250625,298.1048628,0,100123.6106,1.170268581,1.305565798,0,0
6.251875,298.104136,0,100122.756,1.170261445,1.303455528,0,0
6.253125,298.1034101,0,100121.9025,1.170254319,1.301347999,0,0
6.254375,298.1026853,0,100121.0502,1.170247202,1.299243391,0,0
6.255625,298.1019616,0,100120.1992,1.170240096,1.297141884,0,0
6.256875,298.101239,0,100119.3495,1.170233001,1.295043656,0,0
6.258125,298.1005177,0,100118.5012,1.170225918,1.292948879,0,0
6.259375,298.0997976,0,100117.6544,1.170218847,1.290857726,0,0
6.260625,298.0990789,0,100116.8092,1.170211789,1.288770365,0,0
6.261875,298.0983616,0,100115.9655,1.170204744,1.286686963,0,0
6.263125,298.0976457,0,100115.1236,1.170197713,1.284607683,0,0
6.264375,298.0969313,0,100114.2834,1.170190696,1.282532688,0,0
6.265625,298.0962185,0,100113.445,1.170183695,1.280462134,0,0
6.266875,298.0955074,0,100112.6084,1.170176709,1.278396179,0,0
6.268125,298.0947978,0,100111.7739,1.170169739,1.276334977,0,0
6.269375,298.09409,0,100110.9413,1.170162785,1.274278677,0,0
6.270625,298.093384,0,100110.1107,1.170155849,1.272227429,0,0
6.271875,298.0926798,0,100109.2823,1.17014893,1.270181379,0,0
6.273125,298.0919775,0,100108.4561,1.170142029,1.26814067,0,0
6.274375,298.091277,0,100107.6321,1.170135147,1.266105443,0,0
6.275625,298.0905786,0,100106.8103,1.170128284,1.264075836,0,0
