x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,2.05914e-44,0,0
0.001875,2.5,1,1,2.05914e-44,0,0
0.003125,2.5,1,1,4.33571e-44,0,0
0.004375,2.5,1,1,4.33571e-44,0,0
0.005625,2.5,1,1,1.53525e-43,0,0
0.006875,2.5,1,1,1.53525e-43,0,0
0.008125,2.5,1,1,5.11249e-43,0,0
0.009375,2.5,1,1,5.11249e-43,0,0
0.010625,2.5,1,1,1.69967e-42,0,0
0.011875,2.5,1,1,1.69967e-42,0,0
0.013125,2.5,1,1,5.61258e-42,0,0
0.014375,2.5,1,1,5.61258e-42,0,0
0.015625,2.5,1,1,1.84159e-41,0,0
0.016875,2.5,1,1,1.84159e-41,0,0
0.018125,2.5,1,1,6.00366e-41,0,0
0.019375,2.5,1,1,6.00366e-41,0,0
0.020625,2.5,1,1,1.9445e-40,0,0
0.021875,2.5,1,1,1.9445e-40,0,0
0.023125,2.5,1,1,6.25666e-40,0,0
0.024375,2.5,1,1,6.25666e-40,0,0
0.025625,2.5,1,1,1.99983e-39,0,0
0.026875,2.5,1,1,1.99983e-39,0,0
0.028125,2.5,1,1,6.34939e-39,0,0
0.029375,2.5,1,1,6.34939e-39,0,0
0.030625,2.5,1,1,2.00231e-38,0,0
0.031875,2.5,1,1,2.00231e-38,0,0
0.033125,2.5,1,1,6.27137e-38,0,0
0.034375,2.5,1,1,6.27137e-38,0,0
0.035625,2.5,1,1,1.95072e-37,0,0
0.036875,2.5,1,1,1.95072e-37,0,0
0.038125,2.5,1,1,6.02556e-37,0,0
0.039375,2.5,1,1,6.02556e-37,0,0
0.040625,2.5,1,1,1.84815e-36,0,0
0.041875,2.5,1,1,1.84815e-36,0,0
0.043125,2.5,1,1,5.62837e-36,0,0
0.044375,2.5,1,1,5.62837e-36,0,0
0.045625,2.5,1,1,1.70176e-35,0,0
0.046875,2.5,1,1,1.70176e-35,0,0
0.048125,2.5,1,1,5.10801e-35,0,0
0.049375,2.5,1,1,5.10801e-35,0,0
0.050625,2.5,1,1,1.52196e-34,0,0
0.051875,2.5,1,1,1.52196e-34,0,0
0.053125,2.5,1,1,4.5011e-34,0,0
0.054375,2.5,1,1,4.5011e-34,0,0
0.055625,2.5,1,1,1.32117e-33,0,0
0.056875,2.5,1,1,1.32117e-33,0,0
0.058125,2.5,1,1,3.84844e-33,0,0
0.059375,2.5,1,1,3.84844e-33,0,0
0.060625,2.5,1,1,1.11239e-32,0,0
0.061875,2.5,1,1,1.11239e-32,0,0
0.063125,2.5,1,1,3.19031e-32,0,0
0.064375,2.5,1,1,3.19031e-32,0,0
0.065625,2.5,1,1,9.07763e-32,0,0
0.066875,2.5,1,1,9.07763e-32,0,0
0.068125,2.5,1,1,2.56232e-31,0,0
0.069375,2.5,1,1,2.56232e-31,0,0
0.070625,2.5,1,1,7.17415e-31,0,0
0.071875,2.5,1,1,7.17415e-31,0,0
0.073125,2.5,1,1,1.99223e-30,0,0
0.074375,2.5,1,1,1.99223e-30,0,0
0.075625,2.5,1,1,5.48651e-30,0,0
0.076875,2.5,1,1,5.48651e-30,0,0
0.078125,2.5,1,1,1.49828e-29,0,0
0.079375,2.5,1,1,1.49828e-29,0,0
0.080625,2.5,1,1,4.05678e-29,0,0
0.081875,2.5,1,1,4.05678e-29,0,0
0.083125,2.5,1,1,1.08897e-28,0,0
0.084375,2.5,1,1,1.08897e-28,0,0
0.085625,2.5,1,1,2.89763e-28,0,0
0.086875,2.5,1,1,2.89763e-28,0,0
0.088125,2.5,1,1,7.64213e-28,0,0
0.089375,2.5,1,1,7.64213e-28,0,0
0.090625,2.5,1,1,1.99746e-27,0,0
0.091875,2.5,1,1,1.99746e-27,0,0
0.093125,2.5,1,1,5.17343e-27,0,0
0.094375,2.5,1,1,5.17343e-27,0,0
0.095625,2.5,1,1,1.32759e-26,0,0
0.096875,2.5,1,1,1.32759e-26,0,0
0.098125,2.5,1,1,3.37502e-26,0,0
0.099375,2.5,1,1,3.37502e-26,0,0
0.100625,2.5,1,1,8.4988e-26,0,0
0.101875,2.5,1,1,8.4988e-26,0,0
0.103125,2.5,1,1,2.11958e-25,0,0
0.104375,2.5,1,1,2.11958e-25,0,0
0.105625,2.5,1,1,5.23474e-25,0,0
0.106875,2.5,1,1,5.23474e-25,0,0
0.108125,2.5,1,1,1.28006e-24,0,0
0.109375,2.5,1,1,1.28006e-24,0,0
0.110625,2.5,1,1,3.09886e-24,0,0
0.111875,2.5,1,1,3.09886e-24,0,0
0.113125,2.5,1,1,7.42599e-24,0,0
0.114375,2.5,1,1,7.42599e-24,0,0
0.115625,2.5,1,1,1.76133e-23,0,0
0.116875,2.5,1,1,1.76133e-23,0,0
0.118125,2.5,1,1,4.13454e-23,0,0
0.119375,2.5,1,1,4.13454e-23,0,0
0.120625,2.5,1,1,9.60496e-23,0,0
0.121875,2.5,1,1,9.60496e-23,0,0
0.123125,2.5,1,1,2.20828e-22,0,0
0.124375,2.5,1,1,2.20828e-22,0,0
0.125625,2.5,1,1,5.02509e-22,0,0
0.126875,2.5,1,1,5.02509e-22,0,0
0.128125,2.5,1,1,1.132e-21,0,0
0.129375,2.5,1,1,1.132e-21,0,0
0.130625,2.5,1,1,2.52519e-21,0,0
0.131875,2.5,1,1,2.52519e-21,0,0
0.133125,2.5,1,1,5.58015e-21,0,0
0.134375,2.5,1,1,5.58015e-21,0,0
0.135625,2.5,1,1,1.22197e-20,0,0
0.136875,2.5,1,1,1.22197e-20,0,0
0.138125,2.5,1,1,2.65214e-20,0,0
0.139375,2.5,1,1,2.65214e-20,0,0
