x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-6.44705e-16,0,0
0.001875,2.5,1,1,-6.44705e-16,0,0
0.003125,2.5,1,1,6.7283e-16,0,0
0.004375,2.5,1,1,6.7283e-16,0,0
0.005625,2.5,1,1,4.79396e-16,0,0
0.006875,2.5,1,1,4.79396e-16,0,0
0.008125,2.5,1,1,-1.02321e-15,0,0
0.009375,2.5,1,1,-1.02321e-15,0,0
0.010625,2.5,1,1,6.85168e-16,0,0
0.011875,2.5,1,1,6.85168e-16,0,0
0.013125,2.5,1,1,5.62858e-16,0,0
0.014375,2.5,1,1,5.62858e-16,0,0
0.015625,2.5,1,1,-3.75851e-16,0,0
0.016875,2.5,1,1,-3.75851e-16,0,0
0.018125,2.5,1,1,-3.90955e-16,0,0
0.019375,2.5,1,1,-3.90955e-16,0,0
0.020625,2.5,1,1,2.96756e-16,0,0
0.021875,2.5,1,1,2.96756e-16,0,0
0.023125,2.5,1,1,9.76688e-16,0,0
0.024375,2.5,1,1,9.76688e-16,0,0
0.025625,2.5,1,1,-4.5145e-16,0,0
0.026875,2.5,1,1,-4.5145e-16,0,0
0.028125,2.5,1,1,1.75407e-15,0,0
0.029375,2.5,1,1,1.75407e-15,0,0
0.030625,2.5,1,1,-1.0634e-15,0,0
0.031875,2.5,1,1,-1.0634e-15,0,0
0.033125,2.5,1,1,-2.10287e-16,0,0
0.034375,2.5,1,1,-2.10287e-16,0,0
0.035625,2.5,1,1,-3.3315e-16,0,0
0.036875,2.5,1,1,-3.3315e-16,0,0
0.038125,2.5,1,1,1.83781e-16,0,0
0.039375,2.5,1,1,1.83781e-16,0,0
0.040625,2.5,1,1,-1.19969e-16,0,0
0.041875,2.5,1,1,-1.19969e-16,0,0
0.043125,2.5,1,1,8.49273e-16,0,0
0.044375,2.5,1,1,8.49273e-16,0,0
0.045625,2.5,1,1,-7.65926e-16,0,0
0.046875,2.5,1,1,-7.65926e-16,0,0
0.048125,2.5,1,1,4.49551e-16,0,0
0.049375,2.5,1,1,4.49551e-16,0,0
0.050625,2.5,1,1,-5.70914e-16,0,0
0.051875,2.5,1,1,-5.70914e-16,0,0
0.053125,2.5,1,1,-7.45731e-16,0,0
0.054375,2.5,1,1,-7.45731e-16,0,0
0.055625,2.5,1,1,2.0669e-16,0,0
0.056875,2.5,1,1,2.0669e-16,0,0
0.058125,2.5,1,1,5.20757e-17,0,0
0.059375,2.5,1,1,5.20757e-17,0,0
0.060625,2.5,1,1,-2.0336e-16,0,0
0.061875,2.5,1,1,-2.0336e-16,0,0
0.063125,2.5,1,1,6.15559e-16,0,0
0.064375,2.5,1,1,6.15559e-16,0,0
0.065625,2.5,1,1,-2.40159e-16,0,0
0.066875,2.5,1,1,-2.40159e-16,0,0
0.068125,2.5,1,1,-6.1297e-16,0,0
0.069375,2.5,1,1,-6.1297e-16,0,0
0.070625,2.5,1,1,-1.85048e-16,0,0
0.071875,2.5,1,1,-1.85048e-16,0,0
0.073125,2.5,1,1,-3.84661e-16,0,0
0.074375,2.5,1,1,-3.84661e-16,0,0
0.075625,2.5,1,1,-9.20742e-17,0,0
0.076875,2.5,1,1,-9.20742e-17,0,0
0.078125,2.5,1,1,-9.65241e-16,0,0
0.079375,2.5,1,1,-9.65241e-16,0,0
0.080625,2.5,1,1,-1.62382e-15,0,0
0.081875,2.5,1,1,-1.62382e-15,0,0
0.083125,2.5,1,1,-6.14241e-16,0,0
0.084375,2.5,1,1,-6.14241e-16,0,0
0.085625,2.5,1,1,-8.19733e-16,0,0
0.086875,2.5,1,1,-8.19733e-16,0,0
0.088125,2.5,1,1,-1.14477e-15,0,0
0.089375,2.5,1,1,-1.14477e-15,0,0
0.090625,2.5,1,1,-1.80898e-15,0,0
0.091875,2.5,1,1,-1.80898e-15,0,0
0.093125,2.5,1,1,-6.76637e-16,0,0
0.094375,2.5,1,1,-6.76637e-16,0,0
0.095625,2.5,1,1,-1.87057e-15,0,0
0.096875,2.5,1,1,-1.87057e-15,0,0
0.098125,2.5,1,1,-1.99281e-16,0,0
0.099375,2.5,1,1,-1.99281e-16,0,0
0.100625,2.5,1,1,-1.29351e-15,0,0
0.101875,2.5,1,1,-1.29351e-15,0,0
0.103125,2.5,1,1,-1.79372e-15,0,0
0.104375,2.5,1,1,-1.79372e-15,0,0
0.105625,2.5,1,1,-1.21054e-15,0,0
0.106875,2.5,1,1,-1.21054e-15,0,0
0.108125,2.5,1,1,-4.0973e-16,0,0
0.109375,2.5,1,1,-4.0973e-16,0,0
0.110625,2.5,1,1,-2.12133e-15,0,0
0.111875,2.5,1,1,-2.12133e-15,0,0
0.113125,2.5,1,1,-7.9179e-16,0,0
0.114375,2.5,1,1,-7.9179e-16,0,0
0.115625,2.5,1,1,-1.17283e-15,0,0
0.116875,2.5,1,1,-1.17283e-15,0,0
0.118125,2.5,1,1,1.42142e-16,0,0
0.119375,2.5,1,1,1.42142e-16,0,0
0.120625,2.5,1,1,-5.99765e-16,0,0
0.121875,2.5,1,1,-5.99765e-16,0,0
0.123125,2.5,1,1,-1.86197e-17,0,0
0.124375,2.5,1,1,-1.86197e-17,0,0
0.125625,2.5,1,1,2.59861e-16,0,0
0.126875,2.5,1,1,2.59861e-16,0,0
