x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,1.98384e-96,0,0
0.001875,2.5,1,1,1.98384e-96,0,0
0.003125,2.5,1,1,1.24289e-95,0,0
0.004375,2.5,1,1,1.24289e-95,0,0
0.005625,2.5,1,1,9.16181e-95,0,0
0.006875,2.5,1,1,9.16181e-95,0,0
0.008125,2.5,1,1,6.69144e-94,0,0
0.009375,2.5,1,1,6.69144e-94,0,0
0.010625,2.5,1,1,4.85842e-93,0,0
0.011875,2.5,1,1,4.85842e-93,0,0
0.013125,2.5,1,1,3.50648e-92,0,0
0.014375,2.5,1,1,3.50648e-92,0,0
0.015625,2.5,1,1,2.51558e-91,0,0
0.016875,2.5,1,1,2.51558e-91,0,0
0.018125,2.5,1,1,1.79384e-90,0,0
0.019375,2.5,1,1,1.79384e-90,0,0
0.020625,2.5,1,1,1.27144e-89,0,0
0.021875,2.5,1,1,1.27144e-89,0,0
0.023125,2.5,1,1,8.95702e-89,0,0
0.024375,2.5,1,1,8.95702e-89,0,0
0.025625,2.5,1,1,6.27157e-88,0,0
0.026875,2.5,1,1,6.27157e-88,0,0
0.028125,2.5,1,1,4.36437e-87,0,0
0.029375,2.5,1,1,4.36437e-87,0,0
0.030625,2.5,1,1,3.01847e-86,0,0
0.031875,2.5,1,1,3.01847e-86,0,0
0.033125,2.5,1,1,2.07473e-85,0,0
0.034375,2.5,1,1,2.07473e-85,0,0
0.035625,2.5,1,1,1.4172e-84,0,0
0.036875,2.5,1,1,1.4172e-84,0,0
0.038125,2.5,1,1,9.62015e-84,0,0
0.039375,2.5,1,1,9.62015e-84,0,0
0.040625,2.5,1,1,6.48938e-83,0,0
0.041875,2.5,1,1,6.48938e-83,0,0
0.043125,2.5,1,1,4.34993e-82,0,0
0.044375,2.5,1,1,4.34993e-82,0,0
0.045625,2.5,1,1,2.89737e-81,0,0
0.046875,2.5,1,1,2.89737e-81,0,0
0.048125,2.5,1,1,1.91759e-80,0,0
0.049375,2.5,1,1,1.91759e-80,0,0
0.050625,2.5,1,1,1.26103e-79,0,0
0.051875,2.5,1,1,1.26103e-79,0,0
0.053125,2.5,1,1,8.23938e-79,0,0
0.054375,2.5,1,1,8.23938e-79,0,0
