x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-3.31718e-16,0,0
0.001875,2.5,1,1,-3.31718e-16,0,0
0.003125,2.5,1,1,-2.68447e-16,0,0
0.004375,2.5,1,1,-2.68447e-16,0,0
0.005625,2.5,1,1,1.17981e-16,0,0
0.006875,2.5,1,1,1.17981e-16,0,0
0.008125,2.5,1,1,4.39104e-16,0,0
0.009375,2.5,1,1,4.39104e-16,0,0
0.010625,2.5,1,1,8.43384e-16,0,0
0.011875,2.5,1,1,8.43384e-16,0,0
0.013125,2.5,1,1,7.03835e-16,0,0
0.014375,2.5,1,1,7.03835e-16,0,0
0.015625,2.5,1,1,5.99435e-16,0,0
0.016875,2.5,1,1,5.99435e-16,0,0
0.018125,2.5,1,1,4.68088e-16,0,0
0.019375,2.5,1,1,4.68088e-16,0,0
0.020625,2.5,1,1,4.61472e-16,0,0
0.021875,2.5,1,1,4.61472e-16,0,0
0.023125,2.5,1,1,6.28587e-16,0,0
0.024375,2.5,1,1,6.28587e-16,0,0
0.025625,2.5,1,1,2.09634e-16,0,0
0.026875,2.5,1,1,2.09634e-16,0,0
0.028125,2.5,1,1,4.50258e-16,0,0
0.029375,2.5,1,1,4.50258e-16,0,0
0.030625,2.5,1,1,1.98289e-16,0,0
0.031875,2.5,1,1,1.98289e-16,0,0
0.033125,2.5,1,1,-2.34832e-17,0,0
0.034375,2.5,1,1,-2.34832e-17,0,0
0.035625,2.5,1,1,3.71921e-17,0,0
0.036875,2.5,1,1,3.71921e-17,0,0
0.038125,2.5,1,1,2.37562e-16,0,0
0.039375,2.5,1,1,2.37562e-16,0,0
0.040625,2.5,1,1,9.50225e-17,0,0
0.041875,2.5,1,1,9.50225e-17,0,0
0.043125,2.5,1,1,3.53971e-17,0,0
0.044375,2.5,1,1,3.53971e-17,0,0
0.045625,2.5,1,1,6.85072e-17,0,0
0.046875,2.5,1,1,6.85072e-17,0,0
0.048125,2.5,1,1,-1.57108e-16,0,0
0.049375,2.5,1,1,-1.57108e-16,0,0
0.050625,2.5,1,1,-1.95132e-16,0,0
0.051875,2.5,1,1,-1.95132e-16,0,0
0.053125,2.5,1,1,-6.36192e-16,0,0
0.054375,2.5,1,1,-6.36192e-16,0,0
0.055625,2.5,1,1,-8.45622e-16,0,0
0.056875,2.5,1,1,-8.45622e-16,0,0
0.058125,2.5,1,1,-9.59946e-16,0,0
0.059375,2.5,1,1,-9.59946e-16,0,0
0.060625,2.5,1,1,-7.97203e-16,0,0
0.061875,2.5,1,1,-7.97203e-16,0,0
0.063125,2.5,1,1,-7.08904e-16,0,0
0.064375,2.5,1,1,-7.08904e-16,0,0
0.065625,2.5,1,1,-7.24546e-16,0,0
0.066875,2.5,1,1,-7.24546e-16,0,0
0.068125,2.5,1,1,-8.48869e-16,0,0
0.069375,2.5,1,1,-8.48869e-16,0,0
0.070625,2.5,1,1,-1.04123e-15,0,0
0.071875,2.5,1,1,-1.04123e-15,0,0
0.073125,2.5,1,1,-1.04993e-15,0,0
0.074375,2.5,1,1,-1.04993e-15,0,0
0.075625,2.5,1,1,-1.08183e-15,0,0
0.076875,2.5,1,1,-1.08183e-15,0,0
