x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-3.21564e-16,0,0
0.001875,2.5,1,1,-3.21564e-16,0,0
0.003125,2.5,1,1,-1.21093e-16,0,0
0.004375,2.5,1,1,-1.21093e-16,0,0
0.005625,2.5,1,1,3.69373e-16,0,0
0.006875,2.5,1,1,3.69373e-16,0,0
0.008125,2.5,1,1,-6.29928e-16,0,0
0.009375,2.5,1,1,-6.29928e-16,0,0
0.010625,2.5,1,1,2.12972e-16,0,0
0.011875,2.5,1,1,2.12972e-16,0,0
0.013125,2.5,1,1,2.01534e-16,0,0
0.014375,2.5,1,1,2.01534e-16,0,0
0.015625,2.5,1,1,-3.04717e-16,0,0
0.016875,2.5,1,1,-3.04717e-16,0,0
0.018125,2.5,1,1,-6.07467e-16,0,0
0.019375,2.5,1,1,-6.07467e-16,0,0
0.020625,2.5,1,1,-2.79948e-16,0,0
0.021875,2.5,1,1,-2.79948e-16,0,0
0.023125,2.5,1,1,-6.82524e-17,0,0
0.024375,2.5,1,1,-6.82524e-17,0,0
0.025625,2.5,1,1,-3.42275e-16,0,0
0.026875,2.5,1,1,-3.42275e-16,0,0
0.028125,2.5,1,1,1.68208e-16,0,0
0.029375,2.5,1,1,1.68208e-16,0,0
0.030625,2.5,1,1,-5.49464e-17,0,0
0.031875,2.5,1,1,-5.49464e-17,0,0
0.033125,2.5,1,1,-3.02617e-17,0,0
0.034375,2.5,1,1,-3.02617e-17,0,0
0.035625,2.5,1,1,-8.02903e-18,0,0
0.036875,2.5,1,1,-8.02903e-18,0,0
0.038125,2.5,1,1,-6.86511e-17,0,0
0.039375,2.5,1,1,-6.86511e-17,0,0
0.040625,2.5,1,1,-8.39789e-16,0,0
0.041875,2.5,1,1,-8.39789e-16,0,0
0.043125,2.5,1,1,-2.31022e-16,0,0
0.044375,2.5,1,1,-2.31022e-16,0,0
0.045625,2.5,1,1,-4.43067e-16,0,0
0.046875,2.5,1,1,-4.43067e-16,0,0
0.048125,2.5,1,1,1.96412e-16,0,0
0.049375,2.5,1,1,1.96412e-16,0,0
0.050625,2.5,1,1,-7.15161e-16,0,0
0.051875,2.5,1,1,-7.15161e-16,0,0
0.053125,2.5,1,1,-1.03366e-15,0,0
0.054375,2.5,1,1,-1.03366e-15,0,0
0.055625,2.5,1,1,9.82221e-17,0,0
0.056875,2.5,1,1,9.82221e-17,0,0
0.058125,2.5,1,1,-1.98942e-16,0,0
0.059375,2.5,1,1,-1.98942e-16,0,0
0.060625,2.5,1,1,-9.51754e-17,0,0
0.061875,2.5,1,1,-9.51754e-17,0,0
0.063125,2.5,1,1,2.55649e-16,0,0
0.064375,2.5,1,1,2.55649e-16,0,0
0.065625,2.5,1,1,-9.66193e-17,0,0
0.066875,2.5,1,1,-9.66193e-17,0,0
0.068125,2.5,1,1,1.80811e-16,0,0
0.069375,2.5,1,1,1.80811e-16,0,0
0.070625,2.5,1,1,3.06153e-17,0,0
0.071875,2.5,1,1,3.06153e-17,0,0
0.073125,2.5,1,1,-9.843e-17,0,0
0.074375,2.5,1,1,-9.843e-17,0,0
0.075625,2.5,1,1,3.3911e-16,0,0
0.076875,2.5,1,1,3.3911e-16,0,0
0.078125,2.5,1,1,-6.44065e-17,0,0
0.079375,2.5,1,1,-6.44065e-17,0,0
0.080625,2.5,1,1,-2.53194e-16,0,0
0.081875,2.5,1,1,-2.53194e-16,0,0
0.083125,2.5,1,1,4.67751e-16,0,0
0.084375,2.5,1,1,4.67751e-16,0,0
0.085625,2.5,1,1,-1.35127e-16,0,0
0.086875,2.5,1,1,-1.35127e-16,0,0
0.088125,2.5,1,1,-2.60125e-17,0,0
0.089375,2.5,1,1,-2.60125e-17,0,0
0.090625,2.5,1,1,-5.11468e-16,0,0
0.091875,2.5,1,1,-5.11468e-16,0,0
0.093125,2.5,1,1,2.23774e-16,0,0
0.094375,2.5,1,1,2.23774e-16,0,0
0.095625,2.5,1,1,-2.12161e-16,0,0
0.096875,2.5,1,1,-2.12161e-16,0,0
0.098125,2.5,1,1,5.56742e-16,0,0
0.099375,2.5,1,1,5.56742e-16,0,0
0.100625,2.5,1,1,-1.75594e-16,0,0
0.101875,2.5,1,1,-1.75594e-16,0,0
0.103125,2.5,1,1,4.41539e-16,0,0
0.104375,2.5,1,1,4.41539e-16,0,0
0.105625,2.5,1,1,4.48719e-16,0,0
0.106875,2.5,1,1,4.48719e-16,0,0
0.108125,2.5,1,1,4.91388e-16,0,0
0.109375,2.5,1,1,4.91388e-16,0,0
0.110625,2.5,1,1,-2.07941e-16,0,0
0.111875,2.5,1,1,-2.07941e-16,0,0
0.113125,2.5,1,1,-1.04638e-16,0,0
0.114375,2.5,1,1,-1.04638e-16,0,0
0.115625,2.5,1,1,-3.43129e-16,0,0
0.116875,2.5,1,1,-3.43129e-16,0,0
0.118125,2.5,1,1,-7.47933e-17,0,0
0.119375,2.5,1,1,-7.47933e-17,0,0
0.120625,2.5,1,1,-3.48182e-16,0,0
0.121875,2.5,1,1,-3.48182e-16,0,0
0.123125,2.5,1,1,-3.43175e-16,0,0
0.124375,2.5,1,1,-3.43175e-16,0,0
0.125625,2.5,1,1,-6.39869e-17,0,0
0.126875,2.5,1,1,-6.39869e-17,0,0
0.128125,2.5,1,1,-1.59991e-16,0,0
0.129375,2.5,1,1,-1.59991e-16,0,0
0.130625,2.5,1,1,-8.18873e-16,0,0
0.131875,2.5,1,1,-8.18873e-16,0,0
0.133125,2.5,1,1,-3.99466e-16,0,0
0.134375,2.5,1,1,-3.99466e-16,0,0
0.135625,2.5,1,1,-5.68544e-16,0,0
0.136875,2.5,1,1,-5.68544e-16,0,0
0.138125,2.5,1,1,3.44223e-16,0,0
0.139375,2.5,1,1,3.44223e-16,0,0
0.140625,2.5,1,1,-8.21822e-17,0,0
0.141875,2.5,1,1,-8.21822e-17,0,0
0.143125,2.5,1,1,-2.89853e-16,0,0
0.144375,2.5,1,1,-2.89853e-16,0,0
0.145625,2.5,1,1,5.97881e-17,0,0
0.146875,2.5,1,1,5.97881e-17,0,0
0.148125,2.5,1,1,5.42719e-16,0,0
0.149375,2.5,1,1,5.42719e-16,0,0
0.150625,2.5,1,1,2.72684e-16,0,0
0.151875,2.5,1,1,2.72684e-16,0,0
0.153125,2.5,1,1,1.10698e-16,0,0
0.154375,2.5,1,1,1.10698e-16,0,0
0.155625,2.5,1,1,1.25497e-16,0,0
0.156875,2.5,1,1,1.25497e-16,0,0
0.158125,2.5,1,1,7.11594e-17,0,0
0.159375,2.5,1,1,7.11594e-17,0,0
0.160625,2.5,1,1,-4.14369e-16,0,0
0.161875,2.5,1,1,-4.14369e-16,0,0
0.163125,2.5,1,1,-9.69442e-17,0,0
0.164375,2.5,1,1,-9.69442e-17,0,0
