x,T,Ybar.Liq,p,rho,U_0,U_1,U_2
0.000625,298.0000003,1,100001.6285,1000.048396,0.9985836038,0,0
0.001875,298.0000002,1,100000.6898,1000.048395,0.9993493337,0,0
0.003125,297.9999999,1,99999.45689,1000.048395,0.9998679762,0,0
0.004375,297.9999998,1,99998.89807,1000.048394,0.9997999044,0,0
0.005625,297.9999996,1,99998.45221,1000.048394,0.9997474577,0,0
0.006875,297.9999995,1,99997.94391,1000.048394,0.9997519404,0,0
0.008125,297.9999994,1,99997.42357,1000.048394,0.9997556741,0,0
0.009375,297.9999993,1,99996.90746,1000.048393,0.9997554291,0,0
0.010625,297.9999992,1,99996.39223,1000.048393,0.9997552215,0,0
0.011875,297.9999991,1,99995.87677,1000.048393,0.9997552368,0,0
0.013125,297.9999989,1,99995.36126,1000.048393,0.999755256,0,0
0.014375,297.9999988,1,99994.84577,1000.048392,0.999755262,0,0
0.015625,297.9999987,1,99994.33029,1000.048392,0.9997552678,0,0
0.016875,297.9999986,1,99993.81481,1000.048392,0.9997552768,0,0
0.018125,297.9999985,1,99993.29935,1000.048392,0.9997552843,0,0
0.019375,297.9999984,1,99992.7839,1000.048391,0.9997552929,0,0
0.020625,297.9999982,1,99992.26846,1000.048391,0.9997553022,0,0
0.021875,297.9999981,1,99991.75303,1000.048391,0.9997553115,0,0
0.023125,297.999998,1,99991.23762,1000.048391,0.9997553213,0,0
0.024375,297.9999979,1,99990.72221,1000.04839,0.9997553318,0,0
0.025625,297.9999978,1,99990.20683,1000.04839,0.9997553424,0,0
0.026875,297.9999977,1,99989.69146,1000.04839,0.9997553538,0,0
0.028125,297.9999975,1,99989.17611,1000.04839,0.9997553654,0,0
0.029375,297.9999974,1,99988.66077,1000.048389,0.9997553773,0,0
0.030625,297.9999973,1,99988.14546,1000.048389,0.99975539,0,0
0.031875,297.9999972,1,99987.63017,1000.048389,0.9997554029,0,0
0.033125,297.9999971,1,99987.11489,1000.048389,0.9997554162,0,0
0.034375,297.999997,1,99986.59964,1000.048388,0.9997554303,0,0
0.035625,297.9999968,1,99986.08441,1000.048388,0.9997554443,0,0
0.036875,297.9999967,1,99985.56921,1000.048388,0.999755459,0,0
0.038125,297.9999966,1,99985.05402,1000.048388,0.9997554743,0,0
0.039375,297.9999965,1,99984.53887,1000.048387,0.9997554897,0,0
0.040625,297.9999964,1,99984.02374,1000.048387,0.9997555057,0,0
0.041875,297.9999963,1,99983.50864,1000.048387,0.9997555224,0,0
0.043125,297.9999961,1,99982.99357,1000.048387,0.999755539,0,0
0.044375,297.999996,1,99982.47853,1000.048386,0.9997555563,0,0
0.045625,297.9999959,1,99981.96351,1000.048386,0.9997555743,0,0
0.046875,297.9999958,1,99981.44853,1000.048386,0.9997555923,0,0
0.048125,297.9999957,1,99980.93359,1000.048386,0.9997556109,0,0
0.049375,297.9999955,1,99980.41867,1000.048385,0.9997556301,0,0
0.050625,297.9999954,1,99979.90379,1000.048385,0.9997556495,0,0
0.051875,297.9999953,1,99979.38894,1000.048385,0.9997556694,0,0
0.053125,297.9999952,1,99978.87413,1000.048385,0.9997556899,0,0
0.054375,297.9999951,1,99978.35936,1000.048384,0.9997557106,0,0
0.055625,297.999995,1,99977.84462,1000.048384,0.9997557318,0,0
0.056875,297.9999948,1,99977.32993,1000.048384,0.9997557536,0,0
0.058125,297.9999947,1,99976.81527,1000.048384,0.9997557756,0,0
0.059375,297.9999946,1,99976.30066,1000.048383,0.9997557982,0,0
0.060625,297.9999945,1,99975.78608,1000.048383,0.9997558212,0,0
0.061875,297.9999944,1,99975.27155,1000.048383,0.9997558446,0,0
0.063125,297.9999943,1,99974.75706,1000.048383,0.9997558684,0,0
0.064375,297.9999941,1,99974.24262,1000.048382,0.9997558928,0,0
0.065625,297.999994,1,99973.72822,1000.048382,0.9997559175,0,0
0.066875,297.9999939,1,99973.21387,1000.048382,0.9997559426,0,0
0.068125,297.9999938,1,99972.69957,1000.048382,0.9997559683,0,0
0.069375,297.9999937,1,99972.18532,1000.048381,0.9997559943,0,0
0.070625,297.9999936,1,99971.67111,1000.048381,0.9997560207,0,0
0.071875,297.9999934,1,99971.15695,1000.048381,0.9997560477,0,0
0.073125,297.9999933,1,99970.64285,1000.048381,0.9997560749,0,0
0.074375,297.9999932,1,99970.1288,1000.04838,0.9997561028,0,0
0.075625,297.9999931,1,99969.6148,1000.04838,0.999756131,0,0
0.076875,297.999993,1,99969.10085,1000.04838,0.9997561595,0,0
0.078125,297.9999929,1,99968.58696,1000.04838,0.9997561888,0,0
0.079375,297.9999927,1,99968.07313,1000.048379,0.9997562182,0,0
0.080625,297.9999926,1,99967.55935,1000.048379,0.999756248,0,0
0.081875,297.9999925,1,99967.04563,1000.048379,0.9997562786,0,0
0.083125,297.9999924,1,99966.53197,1000.048379,0.9997563094,0,0
0.084375,297.9999923,1,99966.01837,1000.048378,0.9997563405,0,0
0.085625,297.9999922,1,99965.50483,1000.048378,0.9997563723,0,0
0.086875,297.999992,1,99964.99135,1000.048378,0.9997564045,0,0
0.088125,297.9999919,1,99964.47793,1000.048378,0.9997564369,0,0
0.089375,297.9999918,1,99963.96458,1000.048377,0.99975647,0,0
0.090625,297.9999917,1,99963.45129,1000.048377,0.9997565034,0,0
0.091875,297.9999916,1,99962.93807,1000.048377,0.9997565373,0,0
0.093125,297.9999915,1,99962.42492,1000.048377,0.9997565716,0,0
0.094375,297.9999913,1,99961.91183,1000.048377,0.9997566063,0,0
0.095625,297.9999912,1,99961.39881,1000.048376,0.9997566415,0,0
0.096875,297.9999911,1,99960.88586,1000.048376,0.9997566771,0,0
0.098125,297.999991,1,99960.37297,1000.048376,0.9997567131,0,0
0.099375,297.9999909,1,99959.86017,1000.048376,0.9997567496,0,0
0.100625,297.9999908,1,99959.34743,1000.048375,0.9997567865,0,0
0.101875,297.9999906,1,99958.83476,1000.048375,0.9997568239,0,0
0.103125,297.9999905,1,99958.32217,1000.048375,0.9997568617,0,0
0.104375,297.9999904,1,99957.80966,1000.048375,0.9997568998,0,0
0.105625,297.9999903,1,99957.29722,1000.048374,0.9997569385,0,0
0.106875,297.9999902,1,99956.78485,1000.048374,0.9997569776,0,0
0.108125,297.9999901,1,99956.27257,1000.048374,0.9997570172,0,0
0.109375,297.9999899,1,99955.76036,1000.048374,0.9997570571,0,0
0.110625,297.9999898,1,99955.24823,1000.048373,0.9997570974,0,0
0.111875,297.9999897,1,99954.73619,1000.048373,0.9997571384,0,0
0.113125,297.9999896,1,99954.22422,1000.048373,0.9997571796,0,0
0.114375,297.9999895,1,99953.71234,1000.048373,0.9997572211,0,0
0.115625,297.9999894,1,99953.20054,1000.048372,0.9997572634,0,0
0.116875,297.9999892,1,99952.68883,1000.048372,0.999757306,0,0
0.118125,297.9999891,1,99952.1772,1000.048372,0.9997573489,0,0
0.119375,297.999989,1,99951.66565,1000.048372,0.9997573923,0,0
0.120625,297.9999889,1,99951.1542,1000.048371,0.9997574362,0,0
0.121875,297.9999888,1,99950.64283,1000.048371,0.9997574806,0,0
0.123125,297.9999887,1,99950.13155,1000.048371,0.9997575252,0,0
0.124375,297.9999886,1,99949.62037,1000.048371,0.9997575702,0,0
0.125625,297.9999884,1,99949.10927,1000.04837,0.9997576161,0,0
0.126875,297.9999883,1,99948.59826,1000.04837,0.9997576621,0,0
0.128125,297.9999882,1,99948.08735,1000.04837,0.9997577084,0,0
0.129375,297.9999881,1,99947.57653,1000.04837,0.9997577555,0,0
0.130625,297.999988,1,99947.06581,1000.048369,0.9997578027,0,0
0.131875,297.9999879,1,99946.55518,1000.048369,0.9997578504,0,0
0.133125,297.9999877,1,99946.04465,1000.048369,0.9997578988,0,0
0.134375,297.9999876,1,99945.53422,1000.048369,0.9997579474,0,0
0.135625,297.9999875,1,99945.02389,1000.048368,0.9997579963,0,0
0.136875,297.9999874,1,99944.51365,1000.048368,0.999758046,0,0
0.138125,297.9999873,1,99944.00352,1000.048368,0.9997580959,0,0
0.139375,297.9999872,1,99943.49349,1000.048368,0.9997581462,0,0
0.140625,297.999987,1,99942.98356,1000.048367,0.9997581972,0,0
0.141875,297.9999869,1,99942.47373,1000.048367,0.9997582483,0,0
0.143125,297.9999868,1,99941.96401,1000.048367,0.9997582999,0,0
0.144375,297.9999867,1,99941.45439,1000.048367,0.9997583521,0,0
0.145625,297.9999866,1,99940.94488,1000.048366,0.9997584046,0,0
0.146875,297.9999865,1,99940.43548,1000.048366,0.9997584576,0,0
0.148125,297.9999863,1,99939.92619,1000.048366,0.999758511,0,0
0.149375,297.9999862,1,99939.417,1000.048366,0.9997585647,0,0
0.150625,297.9999861,1,99938.90793,1000.048365,0.9997586191,0,0
0.151875,297.999986,1,99938.39896,1000.048365,0.9997586738,0,0
0.153125,297.9999859,1,99937.89011,1000.048365,0.9997587288,0,0
0.154375,297.9999858,1,99937.38137,1000.048365,0.9997587845,0,0
0.155625,297.9999857,1,99936.87275,1000.048364,0.9997588405,0,0
0.156875,297.9999855,1,99936.36424,1000.048364,0.9997588969,0,0
0.158125,297.9999854,1,99935.85585,1000.048364,0.9997589538,0,0
0.159375,297.9999853,1,99935.34757,1000.048364,0.999759011,0,0
0.160625,297.9999852,1,99934.83941,1000.048363,0.9997590687,0,0
0.161875,297.9999851,1,99934.33137,1000.048363,0.9997591269,0,0
0.163125,297.999985,1,99933.82345,1000.048363,0.9997591855,0,0
0.164375,297.9999848,1,99933.31565,1000.048363,0.9997592445,0,0
0.165625,297.9999847,1,99932.80797,1000.048362,0.999759304,0,0
0.166875,297.9999846,1,99932.30042,1000.048362,0.9997593639,0,0
0.168125,297.9999845,1,99931.79299,1000.048362,0.9997594242,0,0
0.169375,297.9999844,1,99931.28568,1000.048362,0.9997594849,0,0
0.170625,297.9999843,1,99930.7785,1000.048361,0.9997595461,0,0
0.171875,297.9999842,1,99930.27144,1000.048361,0.9997596077,0,0
0.173125,297.999984,1,99929.76452,1000.048361,0.9997596697,0,0
0.174375,297.9999839,1,99929.25772,1000.048361,0.9997597322,0,0
0.175625,297.9999838,1,99928.75105,1000.04836,0.9997597952,0,0
0.176875,297.9999837,1,99928.24451,1000.04836,0.9997598585,0,0
0.178125,297.9999836,1,99927.7381,1000.04836,0.9997599223,0,0
0.179375,297.9999835,1,99927.23182,1000.04836,0.9997599865,0,0
0.180625,297.9999833,1,99926.72568,1000.048359,0.9997600511,0,0
0.181875,297.9999832,1,99926.21967,1000.048359,0.9997601162,0,0
