x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-7.5289e-16,0,0
0.001875,2.5,1,1,-7.5289e-16,0,0
0.003125,2.5,1,1,-2.64774e-16,0,0
0.004375,2.5,1,1,-2.64774e-16,0,0
0.005625,2.5,1,1,-1.69714e-16,0,0
0.006875,2.5,1,1,-1.69714e-16,0,0
0.008125,2.5,1,1,-1.81657e-15,0,0
0.009375,2.5,1,1,-1.81657e-15,0,0
0.010625,2.5,1,1,-7.93361e-16,0,0
0.011875,2.5,1,1,-7.93361e-16,0,0
0.013125,2.5,1,1,-1.94437e-16,0,0
0.014375,2.5,1,1,-1.94437e-16,0,0
0.015625,2.5,1,1,-1.20527e-15,0,0
0.016875,2.5,1,1,-1.20527e-15,0,0
0.018125,2.5,1,1,-1.32856e-15,0,0
0.019375,2.5,1,1,-1.32856e-15,0,0
0.020625,2.5,1,1,-1.36208e-15,0,0
0.021875,2.5,1,1,-1.36208e-15,0,0
0.023125,2.5,1,1,-1.40338e-15,0,0
0.024375,2.5,1,1,-1.40338e-15,0,0
0.025625,2.5,1,1,-1.60542e-15,0,0
0.026875,2.5,1,1,-1.60542e-15,0,0
0.028125,2.5,1,1,-3.37504e-16,0,0
0.029375,2.5,1,1,-3.37504e-16,0,0
0.030625,2.5,1,1,-5.58537e-16,0,0
0.031875,2.5,1,1,-5.58537e-16,0,0
0.033125,2.5,1,1,-2.46349e-16,0,0
0.034375,2.5,1,1,-2.46349e-16,0,0
0.035625,2.5,1,1,6.35287e-17,0,0
0.036875,2.5,1,1,6.35287e-17,0,0
0.038125,2.5,1,1,-7.53823e-16,0,0
0.039375,2.5,1,1,-7.53823e-16,0,0
0.040625,2.5,1,1,-6.96956e-16,0,0
0.041875,2.5,1,1,-6.96956e-16,0,0
0.043125,2.5,1,1,1.28039e-16,0,0
0.044375,2.5,1,1,1.28039e-16,0,0
0.045625,2.5,1,1,-1.09048e-15,0,0
0.046875,2.5,1,1,-1.09048e-15,0,0
0.048125,2.5,1,1,3.41366e-16,0,0
0.049375,2.5,1,1,3.41366e-16,0,0
0.050625,2.5,1,1,-6.06976e-16,0,0
0.051875,2.5,1,1,-6.06976e-16,0,0
0.053125,2.5,1,1,-6.01485e-16,0,0
0.054375,2.5,1,1,-6.01485e-16,0,0
0.055625,2.5,1,1,4.2306e-16,0,0
0.056875,2.5,1,1,4.2306e-16,0,0
0.058125,2.5,1,1,-3.44603e-16,0,0
0.059375,2.5,1,1,-3.44603e-16,0,0
0.060625,2.5,1,1,-6.00039e-16,0,0
0.061875,2.5,1,1,-6.00039e-16,0,0
0.063125,2.5,1,1,3.85723e-17,0,0
0.064375,2.5,1,1,3.85723e-17,0,0
0.065625,2.5,1,1,-1.68036e-16,0,0
0.066875,2.5,1,1,-1.68036e-16,0,0
0.068125,2.5,1,1,-1.08107e-16,0,0
0.069375,2.5,1,1,-1.08107e-16,0,0
0.070625,2.5,1,1,2.11631e-16,0,0
0.071875,2.5,1,1,2.11631e-16,0,0
0.073125,2.5,1,1,-3.84661e-16,0,0
0.074375,2.5,1,1,-3.84661e-16,0,0
0.075625,2.5,1,1,3.40666e-16,0,0
0.076875,2.5,1,1,3.40666e-16,0,0
0.078125,2.5,1,1,2.60856e-16,0,0
0.079375,2.5,1,1,2.60856e-16,0,0
0.080625,2.5,1,1,3.5017e-17,0,0
0.081875,2.5,1,1,3.5017e-17,0,0
0.083125,2.5,1,1,2.51239e-16,0,0
0.084375,2.5,1,1,2.51239e-16,0,0
0.085625,2.5,1,1,-6.39425e-16,0,0
0.086875,2.5,1,1,-6.39425e-16,0,0
0.088125,2.5,1,1,4.52624e-17,0,0
0.089375,2.5,1,1,4.52624e-17,0,0
0.090625,2.5,1,1,-5.46822e-16,0,0
0.091875,2.5,1,1,-5.46822e-16,0,0
0.093125,2.5,1,1,2.24905e-16,0,0
0.094375,2.5,1,1,2.24905e-16,0,0
0.095625,2.5,1,1,-2.11737e-16,0,0
0.096875,2.5,1,1,-2.11737e-16,0,0
0.098125,2.5,1,1,1.61336e-16,0,0
0.099375,2.5,1,1,1.61336e-16,0,0
0.100625,2.5,1,1,-2.83779e-16,0,0
0.101875,2.5,1,1,-2.83779e-16,0,0
0.103125,2.5,1,1,-2.43067e-16,0,0
0.104375,2.5,1,1,-2.43067e-16,0,0
0.105625,2.5,1,1,4.48294e-16,0,0
0.106875,2.5,1,1,4.48294e-16,0,0
0.108125,2.5,1,1,5.63936e-16,0,0
0.109375,2.5,1,1,5.63936e-16,0,0
0.110625,2.5,1,1,-2.10062e-16,0,0
0.111875,2.5,1,1,-2.10062e-16,0,0
0.113125,2.5,1,1,3.26123e-16,0,0
0.114375,2.5,1,1,3.26123e-16,0,0
0.115625,2.5,1,1,-1.27041e-16,0,0
0.116875,2.5,1,1,-1.27041e-16,0,0
0.118125,2.5,1,1,1.78204e-16,0,0
0.119375,2.5,1,1,1.78204e-16,0,0
0.120625,2.5,1,1,-3.83395e-16,0,0
0.121875,2.5,1,1,-3.83395e-16,0,0
0.123125,2.5,1,1,2.33812e-16,0,0
0.124375,2.5,1,1,2.33812e-16,0,0
0.125625,2.5,1,1,4.4017e-16,0,0
0.126875,2.5,1,1,4.4017e-16,0,0
0.128125,2.5,1,1,-4.4806e-16,0,0
0.129375,2.5,1,1,-4.4806e-16,0,0
0.130625,2.5,1,1,-7.48305e-16,0,0
0.131875,2.5,1,1,-7.48305e-16,0,0
0.133125,2.5,1,1,-1.84652e-16,0,0
0.134375,2.5,1,1,-1.84652e-16,0,0
0.135625,2.5,1,1,-3.18234e-16,0,0
0.136875,2.5,1,1,-3.18234e-16,0,0
0.138125,2.5,1,1,1.64763e-16,0,0
0.139375,2.5,1,1,1.64763e-16,0,0
0.140625,2.5,1,1,4.59026e-16,0,0
0.141875,2.5,1,1,4.59026e-16,0,0
0.143125,2.5,1,1,-4.69596e-16,0,0
0.144375,2.5,1,1,-4.69596e-16,0,0
0.145625,2.5,1,1,-1.17696e-17,0,0
0.146875,2.5,1,1,-1.17696e-17,0,0
0.148125,2.5,1,1,6.14418e-16,0,0
0.149375,2.5,1,1,6.14418e-16,0,0
0.150625,2.5,1,1,4.53982e-16,0,0
0.151875,2.5,1,1,4.53982e-16,0,0
0.153125,2.5,1,1,-1.41451e-16,0,0
0.154375,2.5,1,1,-1.41451e-16,0,0
0.155625,2.5,1,1,-4.88117e-16,0,0
0.156875,2.5,1,1,-4.88117e-16,0,0
0.158125,2.5,1,1,1.79203e-16,0,0
0.159375,2.5,1,1,1.79203e-16,0,0
0.160625,2.5,1,1,-6.68356e-16,0,0
0.161875,2.5,1,1,-6.68356e-16,0,0
0.163125,2.5,1,1,2.98886e-16,0,0
0.164375,2.5,1,1,2.98886e-16,0,0
0.165625,2.5,1,1,1.17028e-16,0,0
0.166875,2.5,1,1,1.17028e-16,0,0
0.168125,2.5,1,1,3.83161e-16,0,0
0.169375,2.5,1,1,3.83161e-16,0,0
0.170625,2.5,1,1,-5.59797e-16,0,0
0.171875,2.5,1,1,-5.59797e-16,0,0
0.173125,2.5,1,1,2.33492e-16,0,0
0.174375,2.5,1,1,2.33492e-16,0,0
0.175625,2.5,1,1,-2.63266e-16,0,0
0.176875,2.5,1,1,-2.63266e-16,0,0
0.178125,2.5,1,1,2.19624e-16,0,0
0.179375,2.5,1,1,2.19624e-16,0,0
0.180625,2.5,1,1,6.89724e-17,0,0
0.181875,2.5,1,1,6.89724e-17,0,0
0.183125,2.5,1,1,-3.71166e-16,0,0
0.184375,2.5,1,1,-3.71166e-16,0,0
0.185625,2.5,1,1,3.08683e-16,0,0
0.186875,2.5,1,1,3.08683e-16,0,0
0.188125,2.5,1,1,-9.75279e-17,0,0
0.189375,2.5,1,1,-9.75279e-17,0,0
0.190625,2.5,1,1,-1.15617e-16,0,0
0.191875,2.5,1,1,-1.15617e-16,0,0
0.193125,2.5,1,1,-3.86459e-16,0,0
0.194375,2.5,1,1,-3.86459e-16,0,0
0.195625,2.5,1,1,-2.07269e-16,0,0
