x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,1,-7.5289e-16,0,0
0.001875,2.5,1,1,-7.5289e-16,0,0
0.003125,2.5,1,1,4.92521e-16,0,0
0.004375,2.5,1,1,4.92521e-16,0,0
0.005625,2.5,1,1,3.71211e-16,0,0
0.006875,2.5,1,1,3.71211e-16,0,0
0.008125,2.5,1,1,-1.02321e-15,0,0
0.009375,2.5,1,1,-1.02321e-15,0,0
0.010625,2.5,1,1,8.65476e-16,0,0
0.011875,2.5,1,1,8.65476e-16,0,0
0.013125,2.5,1,1,1.03166e-15,0,0
0.014375,2.5,1,1,1.03166e-15,0,0
0.015625,2.5,1,1,1.65074e-16,0,0
0.016875,2.5,1,1,1.65074e-16,0,0
0.018125,2.5,1,1,-6.07326e-16,0,0
0.019375,2.5,1,1,-6.07326e-16,0,0
0.020625,2.5,1,1,3.68879e-16,0,0
0.021875,2.5,1,1,3.68879e-16,0,0
0.023125,2.5,1,1,8.68503e-16,0,0
0.024375,2.5,1,1,8.68503e-16,0,0
0.025625,2.5,1,1,-4.87512e-16,0,0
0.026875,2.5,1,1,-4.87512e-16,0,0
0.028125,2.5,1,1,1.75407e-15,0,0
0.029375,2.5,1,1,1.75407e-15,0,0
0.030625,2.5,1,1,-1.0634e-15,0,0
0.031875,2.5,1,1,-1.0634e-15,0,0
0.033125,2.5,1,1,-4.26657e-16,0,0
0.034375,2.5,1,1,-4.26657e-16,0,0
0.035625,2.5,1,1,-3.69212e-16,0,0
0.036875,2.5,1,1,-3.69212e-16,0,0
0.038125,2.5,1,1,-3.25894e-17,0,0
0.039375,2.5,1,1,-3.25894e-17,0,0
0.040625,2.5,1,1,-1.92093e-16,0,0
0.041875,2.5,1,1,-1.92093e-16,0,0
0.043125,2.5,1,1,7.77149e-16,0,0
0.044375,2.5,1,1,7.77149e-16,0,0
0.045625,2.5,1,1,-1.4511e-15,0,0
0.046875,2.5,1,1,-1.4511e-15,0,0
0.048125,2.5,1,1,7.38044e-16,0,0
0.049375,2.5,1,1,7.38044e-16,0,0
0.050625,2.5,1,1,-7.51223e-16,0,0
0.051875,2.5,1,1,-7.51223e-16,0,0
0.053125,2.5,1,1,-9.62101e-16,0,0
0.054375,2.5,1,1,-9.62101e-16,0,0
0.055625,2.5,1,1,5.67307e-16,0,0
0.056875,2.5,1,1,5.67307e-16,0,0
0.058125,2.5,1,1,-1.28233e-16,0,0
0.059375,2.5,1,1,-1.28233e-16,0,0
0.060625,2.5,1,1,1.30096e-17,0,0
0.061875,2.5,1,1,1.30096e-17,0,0
0.063125,2.5,1,1,1.46757e-16,0,0
0.064375,2.5,1,1,1.46757e-16,0,0
0.065625,2.5,1,1,-2.04097e-16,0,0
0.066875,2.5,1,1,-2.04097e-16,0,0
0.068125,2.5,1,1,-7.57217e-16,0,0
0.069375,2.5,1,1,-7.57217e-16,0,0
0.070625,2.5,1,1,3.13224e-17,0,0
0.071875,2.5,1,1,3.13224e-17,0,0
0.073125,2.5,1,1,-1.68291e-16,0,0
0.074375,2.5,1,1,-1.68291e-16,0,0
0.075625,2.5,1,1,-9.20742e-17,0,0
0.076875,2.5,1,1,-9.20742e-17,0,0
0.078125,2.5,1,1,-2.44008e-16,0,0
0.079375,2.5,1,1,-2.44008e-16,0,0
0.080625,2.5,1,1,-1.0829e-15,0,0
0.081875,2.5,1,1,-1.0829e-15,0,0
0.083125,2.5,1,1,3.23362e-16,0,0
0.084375,2.5,1,1,3.23362e-16,0,0
0.085625,2.5,1,1,1.16366e-15,0,0
0.086875,2.5,1,1,1.16366e-15,0,0
0.088125,2.5,1,1,5.20208e-15,0,0
0.089375,2.5,1,1,5.20208e-15,0,0
0.090625,2.5,1,1,1.87462e-14,0,0
0.091875,2.5,1,1,1.87462e-14,0,0
0.093125,2.5,1,1,6.93552e-14,0,0
0.094375,2.5,1,1,6.93552e-14,0,0
0.095625,2.5,1,1,2.35596e-13,0,0
0.096875,2.5,1,1,2.35596e-13,0,0
0.098125,2.5,1,1,7.77182e-13,0,0
0.099375,2.5,1,1,7.77182e-13,0,0
0.100625,2.5,1,1,2.43006e-12,0,0
0.101875,2.5,1,1,2.43006e-12,0,0
0.103125,2.5,1,1,7.28606e-12,0,0
0.104375,2.5,1,1,7.28606e-12,0,0
0.105625,2.5,1,1,2.12311e-11,0,0
0.106875,2.5,1,1,2.12311e-11,0,0
0.108125,2.5,1,1,6.09406e-11,0,0
0.109375,2.5,1,1,6.09406e-11,0,0
0.110625,2.5,1,1,1.73581e-10,0,0
0.111875,2.5,1,1,1.73581e-10,0,0
0.113125,2.5,1,1,4.92219e-10,0,0
0.114375,2.5,1,1,4.92219e-10,0,0
0.115625,2.5,1,1,1.39142e-09,0,0
0.116875,2.5,1,1,1.39142e-09,0,0
0.118125,2.5,1,1,3.92352e-09,0,0
0.119375,2.5,1,1,3.92352e-09,0,0
0.120625,2.5,1,1,1.10397e-08,0,0
0.121875,2.5,1,1,1.10397e-08,0,0
0.123125,2.5,1,1,3.09979e-08,0,0
0.124375,2.5,1,1,3.09979e-08,0,0
0.125625,2.5,1,1,8.68306e-08,0,0
0.126875,2.5,1,1,8.68306e-08,0,0
0.128125,2.5,1,1,2.42459e-07,0,0
0.129375,2.5,1,1,2.42459e-07,0,0
0.130625,2.5,0.999999,0.999999,6.74069e-07,0,0
0.131875,2.5,0.999999,0.999999,6.74069e-07,0,0
0.133125,2.5,0.999998,0.999998,1.86767e-06,0,0
0.134375,2.5,0.999998,0.999998,1.86767e-06,0,0
0.135625,2.5,0.999995,0.999995,5.25963e-06,0,0
0.136875,2.5,0.999995,0.999995,5.25963e-06,0,0
0.138125,2.49999,0.999986,0.999989,1.23921e-05,0,0
0.139375,2.49999,0.999986,0.999989,1.23921e-05,0,0
0.140625,2.49998,0.999972,0.999979,2.36195e-05,0,0
0.141875,2.49998,0.999972,0.999979,2.36195e-05,0,0
0.143125,2.49998,0.999957,0.999966,4.00747e-05,0,0
0.144375,2.49998,0.999957,0.999966,4.00747e-05,0,0
0.145625,2.49995,0.999926,0.999947,6.31012e-05,0,0
0.146875,2.49995,0.999926,0.999947,6.31012e-05,0,0
0.148125,2.49992,0.999887,0.999918,9.67899e-05,0,0
0.149375,2.49992,0.999887,0.999918,9.67899e-05,0,0
0.150625,2.49988,0.999831,0.999878,0.00014596,0,0
0.151875,2.49988,0.999831,0.999878,0.00014596,0,0
0.153125,2.49982,0.999748,0.999819,0.00021707,0,0
0.154375,2.49982,0.999748,0.999819,0.00021707,0,0
0.155625,2.49974,0.999627,0.999732,0.000319945,0,0
0.156875,2.49974,0.999627,0.999732,0.000319945,0,0
0.158125,2.49962,0.999458,0.999611,0.000465141,0,0
0.159375,2.49962,0.999458,0.999611,0.000465141,0,0
0.160625,2.49945,0.999222,0.999441,0.000666813,0,0
0.161875,2.49945,0.999222,0.999441,0.000666813,0,0
0.163125,2.49921,0.998898,0.999212,0.000939992,0,0
0.164375,2.49921,0.998898,0.999212,0.000939992,0,0
0.165625,2.49892,0.998475,0.998908,0.00130324,0,0
0.166875,2.49892,0.998475,0.998908,0.00130324,0,0
0.168125,2.49851,0.997913,0.998508,0.00177893,0,0
0.169375,2.49851,0.997913,0.998508,0.00177893,0,0
0.170625,2.498,0.997194,0.997993,0.00239248,0,0
0.171875,2.498,0.997194,0.997993,0.00239248,0,0
0.173125,2.49734,0.996276,0.997336,0.0031727,0,0
0.174375,2.49734,0.996276,0.997336,0.0031727,0,0
0.175625,2.49652,0.995129,0.996516,0.00414865,0,0
0.176875,2.49652,0.995129,0.996516,0.00414865,0,0
0.178125,2.49551,0.993719,0.995507,0.00534914,0,0
0.179375,2.49551,0.993719,0.995507,0.00534914,0,0
0.180625,2.49429,0.992014,0.994286,0.00680155,0,0
0.181875,2.49429,0.992014,0.994286,0.00680155,0,0
0.183125,2.49283,0.989986,0.992834,0.0085308,0,0
0.184375,2.49283,0.989986,0.992834,0.0085308,0,0
0.185625,2.49112,0.987611,0.991132,0.0105583,0,0
